GenderSelect,Country,Age,EmploymentStatus,StudentStatus,LearningDataScience,CodeWriter,CareerSwitcher,CurrentJobTitleSelect,TitleFit,CurrentEmployerType,MLToolNextYearSelect,MLMethodNextYearSelect,LanguageRecommendationSelect,PublicDatasetsSelect,LearningPlatformSelect,LearningPlatformUsefulnessArxiv,LearningPlatformUsefulnessBlogs,LearningPlatformUsefulnessCollege,LearningPlatformUsefulnessCompany,LearningPlatformUsefulnessConferences,LearningPlatformUsefulnessFriends,LearningPlatformUsefulnessKaggle,LearningPlatformUsefulnessNewsletters,LearningPlatformUsefulnessCommunities,LearningPlatformUsefulnessDocumentation,LearningPlatformUsefulnessCourses,LearningPlatformUsefulnessProjects,LearningPlatformUsefulnessPodcasts,LearningPlatformUsefulnessSO,LearningPlatformUsefulnessTextbook,LearningPlatformUsefulnessTradeBook,LearningPlatformUsefulnessTutoring,LearningPlatformUsefulnessYouTube,BlogsPodcastsNewslettersSelect,LearningDataScienceTime,JobSkillImportanceBigData,JobSkillImportanceDegree,JobSkillImportanceStats,JobSkillImportanceEnterpriseTools,JobSkillImportancePython,JobSkillImportanceR,JobSkillImportanceSQL,JobSkillImportanceKaggleRanking,JobSkillImportanceMOOC,JobSkillImportanceVisualizations,JobSkillImportanceOtherSelect1,JobSkillImportanceOtherSelect2,JobSkillImportanceOtherSelect3,CoursePlatformSelect,HardwarePersonalProjectsSelect,TimeSpentStudying,ProveKnowledgeSelect,DataScienceIdentitySelect,FormalEducation,MajorSelect,Tenure,PastJobTitlesSelect,FirstTrainingSelect,LearningCategorySelftTaught,LearningCategoryOnlineCourses,LearningCategoryWork,LearningCategoryUniversity,LearningCategoryKaggle,LearningCategoryOther,MLSkillsSelect,MLTechniquesSelect,ParentsEducation,EmployerIndustry,EmployerSize,EmployerSizeChange,EmployerMLTime,EmployerSearchMethod,UniversityImportance,JobFunctionSelect,WorkHardwareSelect,WorkDataTypeSelect,WorkProductionFrequency,WorkDatasetSize,WorkAlgorithmsSelect,WorkToolsSelect,WorkToolsFrequencyAmazonML,WorkToolsFrequencyAWS,WorkToolsFrequencyAngoss,WorkToolsFrequencyC,WorkToolsFrequencyCloudera,WorkToolsFrequencyDataRobot,WorkToolsFrequencyFlume,WorkToolsFrequencyGCP,WorkToolsFrequencyHadoop,WorkToolsFrequencyIBMCognos,WorkToolsFrequencyIBMSPSSModeler,WorkToolsFrequencyIBMSPSSStatistics,WorkToolsFrequencyIBMWatson,WorkToolsFrequencyImpala,WorkToolsFrequencyJava,WorkToolsFrequencyJulia,WorkToolsFrequencyJupyter,WorkToolsFrequencyKNIMECommercial,WorkToolsFrequencyKNIMEFree,WorkToolsFrequencyMathematica,WorkToolsFrequencyMATLAB,WorkToolsFrequencyAzure,WorkToolsFrequencyExcel,WorkToolsFrequencyMicrosoftRServer,WorkToolsFrequencyMicrosoftSQL,WorkToolsFrequencyMinitab,WorkToolsFrequencyNoSQL,WorkToolsFrequencyOracle,WorkToolsFrequencyOrange,WorkToolsFrequencyPerl,WorkToolsFrequencyPython,WorkToolsFrequencyQlik,WorkToolsFrequencyR,WorkToolsFrequencyRapidMinerCommercial,WorkToolsFrequencyRapidMinerFree,WorkToolsFrequencySalfrod,WorkToolsFrequencySAPBusinessObjects,WorkToolsFrequencySASBase,WorkToolsFrequencySASEnterprise,WorkToolsFrequencySASJMP,WorkToolsFrequencySpark,WorkToolsFrequencySQL,WorkToolsFrequencyStan,WorkToolsFrequencyStatistica,WorkToolsFrequencyTableau,WorkToolsFrequencyTensorFlow,WorkToolsFrequencyTIBCO,WorkToolsFrequencyUnix,WorkToolsFrequencySelect1,WorkToolsFrequencySelect2,WorkFrequencySelect3,WorkMethodsSelect,WorkMethodsFrequencyA/B,WorkMethodsFrequencyAssociationRules,WorkMethodsFrequencyBayesian,WorkMethodsFrequencyCNNs,WorkMethodsFrequencyCollaborativeFiltering,WorkMethodsFrequencyCross-Validation,WorkMethodsFrequencyDataVisualization,WorkMethodsFrequencyDecisionTrees,WorkMethodsFrequencyEnsembleMethods,WorkMethodsFrequencyEvolutionaryApproaches,WorkMethodsFrequencyGANs,WorkMethodsFrequencyGBM,WorkMethodsFrequencyHMMs,WorkMethodsFrequencyKNN,WorkMethodsFrequencyLiftAnalysis,WorkMethodsFrequencyLogisticRegression,WorkMethodsFrequencyMLN,WorkMethodsFrequencyNaiveBayes,WorkMethodsFrequencyNLP,WorkMethodsFrequencyNeuralNetworks,WorkMethodsFrequencyPCA,WorkMethodsFrequencyPrescriptiveModeling,WorkMethodsFrequencyRandomForests,WorkMethodsFrequencyRecommenderSystems,WorkMethodsFrequencyRNNs,WorkMethodsFrequencySegmentation,WorkMethodsFrequencySimulation,WorkMethodsFrequencySVMs,WorkMethodsFrequencyTextAnalysis,WorkMethodsFrequencyTimeSeriesAnalysis,WorkMethodsFrequencySelect1,WorkMethodsFrequencySelect2,WorkMethodsFrequencySelect3,TimeGatheringData,TimeModelBuilding,TimeProduction,TimeVisualizing,TimeFindingInsights,TimeOtherSelect,AlgorithmUnderstandingLevel,WorkChallengesSelect,WorkChallengeFrequencyPolitics,WorkChallengeFrequencyUnusedResults,WorkChallengeFrequencyUnusefulInstrumenting,WorkChallengeFrequencyDeployment,WorkChallengeFrequencyDirtyData,WorkChallengeFrequencyExplaining,WorkChallengeFrequencyPass,WorkChallengeFrequencyIntegration,WorkChallengeFrequencyTalent,WorkChallengeFrequencyDataFunds,WorkChallengeFrequencyDomainExpertise,WorkChallengeFrequencyML,WorkChallengeFrequencyTools,WorkChallengeFrequencyExpectations,WorkChallengeFrequencyITCoordination,WorkChallengeFrequencyHiringFunds,WorkChallengeFrequencyPrivacy,WorkChallengeFrequencyScaling,WorkChallengeFrequencyEnvironments,WorkChallengeFrequencyClarity,WorkChallengeFrequencyDataAccess,WorkChallengeFrequencyOtherSelect,WorkDataVisualizations,WorkInternalVsExternalTools,WorkMLTeamSeatSelect,WorkDatasets,WorkDatasetsChallenge,WorkDataStorage,WorkDataSharing,WorkDataSourcing,WorkCodeSharing,RemoteWork,CompensationAmount,CompensationCurrency,SalaryChange,JobSatisfaction,JobSearchResource,JobHuntTime,JobFactorLearning,JobFactorSalary,JobFactorOffice,JobFactorLanguages,JobFactorCommute,JobFactorManagement,JobFactorExperienceLevel,JobFactorDepartment,JobFactorTitle,JobFactorCompanyFunding,JobFactorImpact,JobFactorRemote,JobFactorIndustry,JobFactorLeaderReputation,JobFactorDiversity,JobFactorPublishingOpportunity
Male,United States,49.0,"Independent contractor, freelancer, or self-employed",,,No,Yes,Scientist/Researcher,Fine,Self-employed,Amazon Machine Learning,Proprietary Algorithms,Java,Google Search,"Online courses,Podcasts",,,,,,,,,,,Somewhat useful,,Very useful,,,,,,"Becoming a Data Scientist Podcast,Data Stories Podcast,Other (Separate different answers with semicolon)",15+ years,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Other,Basic laptop (Macbook),2 - 10 hours,Master's degree,Yes,Master's degree,Biology,More than 10 years,Computer Scientist,Self-taught,20.0,0.0,0.0,80.0,0.0,0.0,Reinforcement learning,Bayesian Techniques,A bachelor's degree,Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Asking friends, family members, or former colleagues for leads",1-2,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important
Female,United States,20.0,Employed part-time,,,No,Yes,Researcher,Fine,Employed by non-profit or NGO,Java,Deep learning,Java,Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),Podcasts,,,,,,,,,,,,,Somewhat useful,,,,,,"Becoming a Data Scientist Podcast,Data Machina Newsletter,Data Stories Podcast",< 1 year,,,,,,,,,,,,,,,,,,No,Some college/university study without earning a bachelor's degree,Biology,Less than a year,Researcher,University courses,50.0,0.0,0.0,50.0,0.0,0.0,Other (please specify; separate by semi-colon),Other (please specify; separate by semi-colon),A doctoral degree,Non-profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,United States,31.0,Employed full-time,,,No,Yes,Business Analyst,Fine,Employed by professional services/consulting firm,DataRobot,Deep learning,R,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),I collect my own data (e.g. web-scraping)","Textbook,YouTube Videos",,,,,,,,,,,,,,,Very useful,,,Very useful,Siraj Raval YouTube Channel,< 1 year,,,,Necessary,Necessary,Necessary,,,,,,,,,Laptop or Workstation and local IT supported servers,0 - 1 hour,,No,Bachelor's degree,Computer Science,I don't write code to analyze data,"Business Analyst,Software Developer/Software Engineer","Online courses (coursera, udemy, edx, etc.)",100.0,0.0,0.0,0.0,0.0,0.0,Supervised Machine Learning (Tabular Data),Bayesian Techniques,High school,Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company's Web site/job listing page,0,Very Important,Very Important,Very Important,Very Important,Somewhat important,,Very Important,Very Important,Very Important,,,,,,,Very Important
Male,United States,35.0,Employed full-time,,,No,Yes,Engineer,Fine,Employed by a company that doesn't perform advanced analytics,SAP BusinessObjects Predictive Analytics,Time Series Analysis,Python,Government website,"Blogs,Friends network,Kaggle,Personal Projects,Stack Overflow Q&A,Tutoring/mentoring",,Somewhat useful,,,,Somewhat useful,Somewhat useful,,,,,Somewhat useful,,Somewhat useful,,,Somewhat useful,,,< 1 year,Unnecessary,Unnecessary,Unnecessary,Unnecessary,Unnecessary,Unnecessary,Unnecessary,Unnecessary,Unnecessary,Unnecessary,,,,,GPU accelerated Workstation,,Experience from work in a company related to ML,No,Master's degree,Electrical Engineering,Less than a year,"Business Analyst,Engineer","Online courses (coursera, udemy, edx, etc.)",45.0,35.0,0.0,20.0,0.0,0.0,"Outlier detection (e.g. Fraud detection),Supervised Machine Learning (Tabular Data)","Bayesian Techniques,Logistic Regression","Some college/university study, no bachelor's degree",Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Searching general-purpose job board,20+,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important
Male,United States,20.0,Employed full-time,,,No,Yes,Scientist/Researcher,Fine,Employed by college or university,Mathematica,Cluster Analysis,Python,Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),College/University,,,Very useful,,,,,,,,,,,,,,,,"Becoming a Data Scientist Podcast,Linear Digressions Podcast,Statistical Modeling, Causal Inference, and Social Science Blog (Andrew Gelman)",1-2 years,Nice to have,Unnecessary,Nice to have,Nice to have,Necessary,Nice to have,Nice to have,Unnecessary,Unnecessary,Nice to have,Unnecessary,Unnecessary,Unnecessary,,"Laptop + Cloud service (AWS, Azure, GCE ...)",2 - 10 hours,Experience from work in a company related to ML,No,Some college/university study without earning a bachelor's degree,Engineering (non-computer focused),1 to 2 years,"Data Analyst,Engineer,Researcher",University courses,30.0,0.0,20.0,50.0,0.0,0.0,"Survival Analysis,Time Series",Markov Logic Networks,"Some college/university study, no bachelor's degree",Academic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meeting with recruiters who've contacted you directly,1-2,Very Important,Very Important,Somewhat important,Not important,Very Important,Somewhat important,Somewhat important,Very Important,Not important,Somewhat important,Not important,Not important,Somewhat important,Very Important,Not important,Very Important
Female,United States,21.0,Employed part-time,,,No,Yes,Other,Fine,Employed by a company that doesn't perform advanced analytics,Amazon Machine Learning,,R,GitHub,"College/University,Kaggle,Stack Overflow Q&A,YouTube Videos",,,Very useful,,,,Somewhat useful,,,,,,,Somewhat useful,,,,Very useful,,< 1 year,Necessary,Nice to have,Necessary,Necessary,Nice to have,Nice to have,Necessary,Unnecessary,Unnecessary,Nice to have,,,,,Basic laptop (Macbook),0 - 1 hour,Master's degree,No,Some college/university study without earning a bachelor's degree,Mathematics or statistics,1 to 2 years,I haven't started working yet,University courses,20.0,0.0,0.0,80.0,0.0,0.0,,,A bachelor's degree,Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Career fair or on-campus recruiting event,3-5,Very Important,Somewhat important,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,Not important,Somewhat important,Not important,Somewhat important,Somewhat important,Somewhat important,Somewhat important
Male,United States,19.0,Employed part-time,,,No,Yes,Other,Fine,Employed by a company that doesn't perform advanced analytics,R,Monte Carlo Methods,Python,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),GitHub,Google Search,University/Non-profit research group websites","College/University,Personal Projects,Textbook",,,Very useful,,,,,,,,,Very useful,,,Somewhat useful,,,,Talking Machines Podcast,1-2 years,Nice to have,Necessary,Necessary,Necessary,Necessary,Nice to have,Necessary,Unnecessary,Unnecessary,Nice to have,,,,,Gaming Laptop (Laptop + CUDA capable GPU),2 - 10 hours,Github Portfolio,No,Some college/university study without earning a bachelor's degree,Computer Science,1 to 2 years,Other,University courses,30.0,0.0,0.0,70.0,0.0,0.0,,"Decision Trees - Random Forests,Logistic Regression","Some college/university study, no bachelor's degree",Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Career fair or on-campus recruiting event,0,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not important,Very Important,Somewhat important,Somewhat important,Somewhat important,Not important,Not important,Very Important,Somewhat important,Not important,Somewhat important
Male,United States,27.0,Employed full-time,,,No,Yes,Programmer,Fine,Employed by professional services/consulting firm,Python,Rule Induction,Python,Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),"Kaggle,Online courses,YouTube Videos",,,,,,,Very useful,,,,Very useful,,,,,,,Somewhat useful,"Data Machina Newsletter,Siraj Raval YouTube Channel",< 1 year,,Nice to have,,,Necessary,Nice to have,,Necessary,,,,,,"Coursera,edX",Basic laptop (Macbook),2 - 10 hours,Kaggle Competitions,Sort of (Explain more),Master's degree,Electrical Engineering,3 to 5 years,"Engineer,Programmer",Self-taught,40.0,40.0,0.0,0.0,20.0,0.0,"Computer Vision,Machine Translation,Natural Language Processing","Evolutionary Approaches,Neural Networks - CNNs,Neural Networks - RNNs","Some college/university study, no bachelor's degree",Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,1-2,,Somewhat important,,,,,,,,,,,,,,
Male,United States,38.0,Employed full-time,,,No,Yes,Software Developer/Software Engineer,Fine,Employed by a company that doesn't perform advanced analytics,Spark / MLlib,Deep learning,Python,I collect my own data (e.g. web-scraping),"Blogs,Kaggle,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",,Very useful,,,,,Very useful,,,Somewhat useful,Very useful,Very useful,,Somewhat useful,Very useful,,,Very useful,,< 1 year,Nice to have,Nice to have,Nice to have,Nice to have,Necessary,Nice to have,Necessary,Unnecessary,Unnecessary,Nice to have,,,,DataCamp,Basic laptop (Macbook),0 - 1 hour,Experience from work in a company related to ML,No,Bachelor's degree,Computer Science,Less than a year,"Programmer,Software Developer/Software Engineer",Self-taught,95.0,0.0,0.0,0.0,5.0,0.0,,"Bayesian Techniques,Logistic Regression","Some college/university study, no bachelor's degree",Mix of fields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
Male,United States,30.0,Employed full-time,,,No,Yes,Software Developer/Software Engineer,Perfectly,Employed by a company that performs advanced analytics,TensorFlow,Bayesian Methods,Python,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),Google Search,University/Non-profit research group websites","Kaggle,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,YouTube Videos",,,,,,,Very useful,,,Very useful,Very useful,Very useful,,Somewhat useful,,,,Somewhat useful,,< 1 year,,,,,,,,,,,,,,Coursera,GPU accelerated Workstation,2 - 10 hours,Experience from work in a company related to ML,No,Bachelor's degree,Computer Science,Less than a year,Software Developer/Software Engineer,"Online courses (coursera, udemy, edx, etc.)",50.0,40.0,0.0,0.0,10.0,0.0,"Computer Vision,Supervised Machine Learning (Tabular Data)",Neural Networks - CNNs,I prefer not to answer,Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Searching general-purpose job board,1-2,Very Important,Somewhat important,Not important,Not important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very Important,Somewhat important,Very Important,Not important,Somewhat important,Somewhat important,Somewhat important,Very Important
